,sum
realized_coastalprotection_barrierreef,588783.0584
realized_coastalprotection_norm,230585455
realized_coastalprotection_norm_offshore,355338657.3
realized_coastalprotection_norm_onshore,230585455
realized_commercialtimber_forest,1313333.784
realized_domestictimber_forest,209546.5246
realized_floodmitigation_attn_500km_nathab,7404458176
realized_floodmitigation_attn_50km,1709111622
realized_fuelwood_forest,698836.6387
realized_fwfish_per_km2,1054935.187
realized_grazing_natnotforest,1210926.751
realized_marinefish_watson_2010_2014,86552905.41
realized_moisturerecycling_nathab30s,98072141.03
realized_nitrogenretention_attn_500km,7.30649E+13
realized_nitrogenretention_attn_50km,1.03953E+13
realized_nature_access_rural_6h,7.71097E+12
realized_nature_access_rural_1h,2.24539E+11
realized_nature_access_urban_6h,9.26984E+12
realized_nature_access_urban_1h,4.11277E+11
realized_pollination_norm_nathab,7435109.1
realized_reeftourism_Modelled_Total_Dollar_Value,103948
realized_sedimentdeposition_attn_500km,2.0974E+12
realized_sedimentdeposition_attn_50km,3.15983E+11
Vulnerable_C_Total_2018,1238789638
