,sum,
realized_coastalprotection_barrierreef,588783.0584,coastal_protection_reef
realized_coastalprotection_norm,230585455,coastal_protection
realized_coastalprotection_norm_offshore,355338657.3,coastal_protection_offshore
realized_coastalprotection_norm_onshore,230585455,coastal_protection_onshore
realized_commercialtimber_forest,1313333.784,commercial_timber
realized_domestictimber_forest,209546.5246,domestic_timber
realized_floodmitigation_attn_500km_nathab,7404458176,flood_mitigation_500km
realized_floodmitigation_attn_50km,1709111622,flood_mitigation_50km
realized_fuelwood_forest,698836.6387,fuelwood
realized_fwfish_per_km2,1054935.187,fwfish
realized_grazing_natnotforest,1210926.751,grazing
realized_marinefish_watson_2010_2014,86552905.41,marinefish
realized_moisturerecycling_nathab30s,98072141.03,moisture_recycling
realized_nitrogenretention_attn_500km,7.31E+13,nitrogen_retention_500km
realized_nitrogenretention_attn_50km,1.04E+13,nitrogen_retention_50km
realized_nature_access_rural_6h,7.71E+12,nature_access_rural_6hr
realized_nature_access_rural_1h,2.25E+11,nature_access_rural_1hr
realized_nature_access_urban_6h,9.27E+12,nature_access_urban_6hr
realized_nature_access_urban_1h,4.11E+11,nature_access_urban_1hr
realized_pollination_norm_nathab,7435109.1,pollination
realized_reeftourism_Modelled_Total_Dollar_Value,103948,reef_tourism
realized_sedimentdeposition_attn_500km,2.10E+12,sediment_deposition_500km
realized_sedimentdeposition_attn_50km,3.16E+11,sediment_deposition_50km
Vulnerable_C_Total_2018,1238789638,vulnerable_carbon
