"","es","total_kba","total_global","pct_kba"
"1","coastal_protection",34175035.2277607,230585455,0.148209847961836
"2","coastal_protection_offshore",45999225.5094115,355338657.3,0.129451790747822
"3","coastal_protection_onshore",34175035.2277607,230585455,0.148209847961836
"4","coastal_protection_reef",49009.7728795706,588783.0584,0.0832391017036958
"5","commercial_timber",190251.651809297,1313333.784,0.144861614105327
"6","domestic_timber",32931.264223685,209546.5246,0.157154905272454
"7","flood_mitigation_500km",1141484043.49397,7404458176,0.15416172478276
"8","flood_mitigation_50km",263702871.657369,1709111622,0.154292363507998
"9","fuelwood",84920.927715539,698836.6387,0.121517566499535
"10","fwfish",230425.195827656,1054935.187,0.218425926698808
"11","grazing",125122.465971841,1210926.751,0.10332785684065
"12","marinefish",11201319.9143768,86552905.41,0.129415874156
"13","moisture_recycling",16162747.8850633,98072141.03,0.164804680669908
"14","nature_access_rural_1hr",21490641149.8459,2.24539e+11,0.0957100599443566
"15","nature_access_rural_6hr",934065567961.89,7.71097e+12,0.121134639087156
"16","nature_access_urban_1hr",35605282996.1832,4.11277e+11,0.0865725119473814
"17","nature_access_urban_6hr",1073333989610.04,9.26984e+12,0.115787757891187
"18","nitrogen_retention_500km",9007784177648.28,7.30649e+13,0.123284698639816
"19","nitrogen_retention_50km",1183375710371.67,1.03953e+13,0.113837571823003
"20","pollination",623325.075786613,7435109.1,0.0838353637321358
"21","reef_tourism",21456,103948,0.206410897756571
"22","sediment_deposition_500km",312222087396.169,2.0974e+12,0.14886148917525
"23","sediment_deposition_50km",42877359523.3188,3.15983e+11,0.135695146648139
"24","vulnerable_carbon",225244146,1238789638,0.181825984889292
