,es,global_mean_kba,mean,pct_kba
1,coastal_protection,275.8126478,555.1700887,50%
2,coastal_protection_offshore,263.7258798,783.248413,34%
3,coastal_protection_onshore,275.8126478,555.1700887,50%
4,coastal_protection_reef,0.296418359,201.0871101,0.1%
5,commercial_timber,0.084147366,0.063426466,133%
6,domestic_timber,0.015416009,0.010119892,152%
7,flood_mitigation_500km,778.5520906,425.8916541,183%
8,flood_mitigation_50km,232.8426851,98.30515055,237%
9,fuelwood,0.061604249,0.033749789,183%
10,fwfish,0.154056887,0.258365542,60%
11,grazing,0.096990528,0.069667968,139%
12,marinefish,4.995792624,0.919371416,543%
13,moisture_recycling,4.247195225,4.732903984,90%
14,nature_access_rural_1hr,47694.52296,10390.72315,459%
15,nature_access_rural_6hr,1302619.936,356830.5669,365%
16,nature_access_urban_1hr,102224.6037,19032.13368,537%
17,nature_access_urban_6hr,1459048.015,428968.5246,340%
18,nitrogen_retention_500km,5349600.468,4178961.195,128%
19,nitrogen_retention_50km,1084567.221,594558.6931,182%
20,pollination,1.706307382,0.320490707,532%
21,reef_tourism,0.140980323,1.604309107,9%
22,sediment_deposition_500km,177944.4529,123841.7377,144%
23,sediment_deposition_50km,41990.58102,18657.3125,225%
24,vulnerable_carbon,56.37370696,62.51808995,90%
